first_name,last_name,frequency,search_url
,EPIC-CVD Consortium,2,https://www.google.com/search?q=%20EPIC-CVD%20Consortium
,AFGen Consortium,1,https://www.google.com/search?q=%20AFGen%20Consortium
,BioBank Japan Cooperative Hospital Group,1,https://www.google.com/search?q=%20BioBank%20Japan%20Cooperative%20Hospital%20Group
,EPIC-InterAct Consortium,1,https://www.google.com/search?q=%20EPIC-InterAct%20Consortium
,HIPSCI Consortium,1,https://www.google.com/search?q=%20HIPSCI%20Consortium
,ReproGen Consortium,1,https://www.google.com/search?q=%20ReproGen%20Consortium
,Understanding Society Scientific Group,1,https://www.google.com/search?q=%20Understanding%20Society%20Scientific%20Group
BIOS,Consortium,1,https://www.google.com/search?q=BIOS%20Consortium
EPIC-InterAct,Consortium,1,https://www.google.com/search?q=EPIC-InterAct%20Consortium
ReproGen,Consortium,1,https://www.google.com/search?q=ReproGen%20Consortium
arcOGEN,consortium,1,https://www.google.com/search?q=arcOGEN%20consortium
eQTLGen,Consortium,1,https://www.google.com/search?q=eQTLGen%20Consortium
