,input.city,input.country,input.name,input.state,grid_id,grid_name,grid_city,grid_state,grid_country,requires_review,geo_country_id,geo_country_name,geo_country_code,geo_state_id,geo_state_name,geo_state_code,geo_city_id,geo_city_name
0,Augusta,United States,Augusta Univeristy,Georgia,grid.410427.4,Augusta University,Augusta,Georgia,United States,False,6252001,United States,US,4197000,Georgia,US-GA,4180531,Augusta
1,Houston,United States,Baylor College of Medicine,Texas,grid.39382.33,Baylor College of Medicine,Houston,Texas,United States,False,6252001,United States,US,4736286,Texas,US-TX,4699066,Houston
2,Providence,United States,Brown University,Rhode Island,grid.40263.33,Brown University,Providence,Rhode Island,United States,False,6252001,United States,US,5224323,Rhode Island,US-RI,5224151,Providence
3,Pasadena,United States,California Institute of Technology,California,grid.20861.3d,California Institute of Technology,Pasadena,California,United States,False,6252001,United States,US,5332921,California,US-CA,5381396,Pasadena
4,Durham,United States,Duke Univerisity,North Carolina,grid.26009.3d,Duke University,Durham,North Carolina,United States,False,6252001,United States,US,4482348,North Carolina,US-NC,4464368,Durham
5,Atlanta,United States,Emory University,Georgia,grid.189967.8,Emory University,Atlanta,Georgia,United States,False,6252001,United States,US,4197000,Georgia,US-GA,4180439,Atlanta
6,Tallahassee,United States,Florida State University,Florida,grid.255986.5,Florida State University,Tallahassee,Florida,United States,False,6252001,United States,US,4155751,Florida,US-FL,4174715,Tallahassee
7,Boston,United States,Harvard Medical School,Massachusetts,grid.38142.3c,Harvard University,Cambridge,Massachusetts,United States,False,6252001,United States,US,6254926,Massachusetts,US-MA,4931972,Cambridge
8,Kent,United States,Kent State University,Ohio,grid.258518.3,Kent State University,Kent,Ohio,United States,False,6252001,United States,US,5165418,Ohio,US-OH,5159537,Kent
9,New York,United States,New York University,New York,grid.137628.9,New York University,New York,New York,United States,False,6252001,United States,US,5128638,New York,US-NY,5128581,New York City
10,null,United States,Mayo Clinic,null,grid.417468.8,Mayo Clinic,Scottsdale,Arizona,United States,True,6252001,United States,US,5551752,Arizona,US-AZ,5313457,Scottsdale
11,null,United States,Mayo Clinic,null,grid.417468.8,Mayo Clinic,Scottsdale,Arizona,United States,True,6252001,United States,US,5551752,Arizona,US-AZ,4160021,Jacksonville
12,null,United States,Mayo Clinic,null,grid.417468.8,Mayo Clinic,Scottsdale,Arizona,United States,True,6252001,United States,US,4155751,Florida,US-FL,5313457,Scottsdale
13,null,United States,Mayo Clinic,null,grid.417468.8,Mayo Clinic,Scottsdale,Arizona,United States,True,6252001,United States,US,4155751,Florida,US-FL,4160021,Jacksonville
14,null,United States,Mayo Clinic,null,grid.417467.7,Mayo Clinic,Jacksonville,Florida,United States,True,6252001,United States,US,5551752,Arizona,US-AZ,5313457,Scottsdale
15,null,United States,Mayo Clinic,null,grid.417467.7,Mayo Clinic,Jacksonville,Florida,United States,True,6252001,United States,US,5551752,Arizona,US-AZ,4160021,Jacksonville
16,null,United States,Mayo Clinic,null,grid.417467.7,Mayo Clinic,Jacksonville,Florida,United States,True,6252001,United States,US,4155751,Florida,US-FL,5313457,Scottsdale
17,null,United States,Mayo Clinic,null,grid.417467.7,Mayo Clinic,Jacksonville,Florida,United States,True,6252001,United States,US,4155751,Florida,US-FL,4160021,Jacksonville
